,ID,Latitud,Longitud,Elevación,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
SKIKDA/ALGERIA,10160355000.000000,36.930000,6.950000,7.000000,16.588889,17.000000,18.970000,20.630000,23.544444,26.590909,28.766667,29.700000,27.355556,25.110000,21.080000,17.875000
ANNABA/ALGERIA,10160360000.000000,36.830000,7.820000,4.000000,15.754545,16.133333,18.512667,20.411429,24.258333,27.794615,30.574000,31.234000,28.434000,25.608333,20.840769,17.325714
DAR-EL-BEIDA/ALGERIA,10160390000.000000,36.720000,3.250000,25.000000,16.830769,17.471429,19.460000,21.750000,25.066667,28.735714,31.721429,32.584615,29.338462,26.328571,21.140000,18.093750
BEJAIA/ALGERIA,10160402000.000000,36.720000,5.070000,2.000000,16.190000,16.666667,19.210000,20.866667,23.233333,27.150000,29.561538,30.310000,27.918182,25.564286,20.971429,17.841667
GUELMA/ALGERIA,10160403000.000000,36.470000,7.470000,227.000000,15.472727,16.350000,19.606250,22.213333,27.106250,32.935714,36.469231,35.861538,30.880000,27.135714,20.800000,17.000000
CONSTANTINE/ALGERIA,10160419000.000000,36.280000,6.620000,694.000000,12.454545,13.023077,16.731250,19.587500,24.935714,31.161538,34.664286,34.050000,28.245455,23.985714,17.166667,13.218750
CHLEF/ALGERIA,10160425000.000000,36.220000,1.330000,143.000000,15.925000,17.540000,20.927273,24.109091,28.371429,34.538462,38.246154,37.300000,32.440000,28.153846,20.475000,16.515385
MILIANA/ALGERIA,10160430000.000000,36.300000,2.230000,715.000000,13.715000,14.927692,18.296000,20.747143,25.857500,31.668571,35.849333,34.978333,29.761667,25.360000,18.136000,14.345714
BORDJ BOU ARR/ALGERIA,10160444000.000000,36.070000,4.770000,928.000000,11.930909,13.440000,17.215000,20.184000,26.044000,31.806154,35.917333,34.663636,28.113333,23.329231,16.351429,11.960000
SETIF/ALGERIA,10160445000.000000,36.180000,5.420000,1081.000000,10.210000,11.050000,14.918182,18.075000,23.333333,29.900000,33.969231,32.916667,26.827273,21.791667,14.776923,10.715385
ORAN/ALGERIA,10160461000.000000,35.700000,-0.650000,60.000000,16.290909,16.792308,17.855333,19.379231,21.695333,24.309091,26.800000,27.290909,25.500000,23.278571,19.935714,17.983333
BATNA/ALGERIA,10160468000.000000,35.550000,6.180000,1052.000000,12.083333,13.381818,17.428571,20.861538,26.400000,31.830769,36.064286,34.825000,28.300000,24.330769,17.507692,12.818182
TEBESSA/ALGERIA,10160475000.000000,35.480000,8.130000,813.000000,11.971818,13.467500,17.818333,20.809167,26.480000,32.292500,35.876429,34.892222,28.514444,23.976429,17.226154,13.069286
ORAN/ES SENIA/ALGERIA,10160490000.000000,35.600000,-0.600000,90.000000,16.918182,17.763636,20.684615,22.492308,24.883333,28.845455,31.383333,32.118182,29.227273,25.590909,20.581818,17.558333
BISKRA/ALGERIA,10160525000.000000,34.800000,5.730000,87.000000,17.025000,18.583333,23.357143,26.887500,32.284615,37.571429,41.021429,40.330769,34.046154,28.900000,22.021429,17.421429
TLEMCEN (ZENA/ALGERIA,10160531000.000000,35.020000,-1.470000,247.000000,17.250000,17.931818,20.365385,23.234615,25.935714,29.856667,33.265385,33.410000,29.841667,27.500000,21.416667,18.573077
MECHERIA/ALGERIA,10160549000.000000,33.600000,-0.300000,176.000000,13.045714,15.220000,19.500000,22.568571,26.377500,33.384444,37.790000,36.317778,29.225714,23.850000,17.517778,13.449091
ELBAYADH/ALGERIA,10160550000.000000,33.670000,1.000000,1341.000000,9.615385,11.881818,15.937500,19.092857,24.076923,30.392857,34.946667,33.784615,26.927273,21.885714,14.553846,10.206667
TOUGGOURT/ALGERIA,10160555000.000000,33.120000,6.130000,85.000000,17.291667,19.616667,24.571429,28.125000,33.258333,38.083333,41.846154,41.061538,34.950000,29.683333,22.714286,18.208333
EL OUED/ALGERIA,10160559000.000000,33.500000,6.120000,63.000000,17.007692,19.625000,24.125000,28.092857,33.185714,38.250000,41.592857,40.863636,34.763636,29.950000,22.678571,17.942857
GHARDAIA/ALGERIA,10160566000.000000,32.380000,3.820000,450.000000,16.409091,18.935714,23.518750,27.280000,32.820000,37.433333,41.371429,40.508333,34.483333,28.621429,22.006667,17.600000
BECHAR/ALGERIA,10160571000.000000,31.620000,-2.230000,773.000000,16.490000,19.418182,23.961667,27.409091,31.969091,37.460000,41.378182,40.178000,34.412000,28.347273,21.400000,17.033333
EL GOLEA/ALGERIA,10160590000.000000,30.570000,2.870000,397.000000,17.335000,20.229231,24.845385,29.060667,34.067692,39.400667,42.567333,41.764167,36.737692,30.374000,22.860769,18.354000
BENI ABBES/ALGERIA,10160602000.000000,30.130000,-2.170000,499.000000,18.741667,21.409091,26.583333,30.090909,34.607692,39.691667,44.092308,42.953846,37.281818,31.253846,24.407143,19.535714
TIMIMOUN/ALGERIA,10160607000.000000,29.250000,0.280000,312.000000,19.216667,22.030769,27.691667,31.381818,36.564286,41.881818,45.446667,44.354545,38.890909,33.084615,25.026667,19.740000
IN AMENAS/ALGERIA,10160611000.000000,28.050000,9.630000,562.000000,17.910000,20.536364,26.350000,31.045455,35.800000,39.520000,40.590000,39.812500,37.550000,31.675000,24.445455,18.777778
ADRAR/ALGERIA,10160620000.000000,27.880000,-0.280000,263.000000,20.904615,24.081538,28.812857,33.104615,37.881538,42.504615,45.627143,44.720000,40.256364,34.758462,26.643077,21.420000
IN SALAH/ALGERIA,10160630000.000000,27.200000,2.470000,293.000000,21.936364,25.400000,30.407692,34.800000,39.525000,43.915385,46.284615,45.009091,41.681818,35.266667,27.983333,23.192857
DJANET/ALGERIA,10160670000.000000,24.550000,9.470000,1054.000000,19.596667,22.366364,26.707500,32.669000,35.906000,37.474545,37.935455,37.865556,36.291111,31.289000,25.296364,21.399167
TAMANRASSET/ALGERIA,10160680000.000000,22.780000,5.520000,1378.000000,21.359231,23.638571,26.940667,31.580667,34.717143,36.040714,36.483571,35.985833,34.733571,30.733571,25.969286,22.727333
KANDI/BENIN,10365306000.000000,11.130000,2.930000,292.000000,33.954545,37.690000,39.375000,39.680000,36.516667,33.484615,31.260000,30.415385,31.490000,34.030000,36.027273,35.036364
NATITINGOU/BENIN,10365319000.000000,10.320000,1.380000,461.000000,34.770000,37.388889,38.336364,36.390909,33.950000,31.816667,29.940000,29.336364,30.575000,32.730000,35.563636,35.840000
PARAKOU/BENIN,10365330000.000000,9.350000,2.620000,393.000000,34.643750,36.603333,36.882500,34.808889,32.783000,30.893636,29.310000,28.421667,29.630000,31.330000,34.493636,34.788000
SAVE/BENIN,10365335000.000000,8.030000,2.470000,200.000000,36.042222,38.001250,37.692000,35.374167,33.640833,32.249167,30.674545,29.804615,31.115000,32.678889,35.310000,36.035000
COTONOU/BENIN,10365344000.000000,6.350000,2.380000,9.000000,31.600000,32.466667,32.214286,31.840000,31.136364,29.590000,28.500000,28.227273,29.114286,30.044444,31.600000,31.920000
POINTE-NOIRE/CONGO,11264400000.000000,-4.820000,11.900000,17.000000,30.180000,31.180000,31.087500,31.000000,29.440000,27.450000,26.020000,25.800000,27.000000,28.816667,29.583333,29.488889
BRAZZAVILLE //CONGO,11264450000.000000,-4.250000,15.250000,316.000000,30.766667,31.787500,32.355556,32.771429,31.437500,28.750000,28.416667,29.200000,30.942857,31.225000,30.928571,30.655556
GAGNOA/COTE D'IVOIRE,11365557000.000000,6.130000,-5.950000,210.000000,33.344000,35.030000,35.160000,33.382857,32.513333,31.540000,29.720000,29.455000,30.146667,31.780000,31.837143,31.322857
TABOU/COTE D'IVOIRE,11365592000.000000,4.420000,-7.370000,21.000000,29.940000,31.000000,30.757143,30.700000,29.244444,27.500000,26.760000,25.980000,26.650000,28.200000,28.975000,28.466667
MERSA MATRUH/EGYPT,11562306000.000000,31.330000,27.220000,28.000000,18.558333,18.727273,20.607692,23.015385,25.544444,27.700000,29.763636,30.463636,29.808333,27.281818,23.876923,20.041667
ASWAN/EGYPT,11562414000.000000,24.030000,32.880000,100.000000,24.033333,26.257143,30.235714,35.728571,39.607143,41.584615,42.026667,41.910000,40.275000,36.178571,30.225000,24.900000
GONDAR/ETHIOPIA,11763331000.000000,12.530000,37.430000,1966.000000,28.442500,29.504000,30.315556,29.813333,28.430000,25.371111,23.711111,23.481818,25.341667,26.545000,27.411111,27.232500
ADDIS ABABA/ETHIOPIA,11763450000.000000,8.980000,38.800000,2324.000000,23.855556,25.244444,25.266667,25.640000,25.466667,23.555556,21.372727,21.120000,21.958333,23.277778,23.000000,23.210000
