,ID,Latitud,Longitud,Elevación,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
SKIKDA/ALGERIA,10160355000.000000,36.930000,6.950000,7.000000,12.240000,12.677273,14.286364,16.045455,19.013636,22.170370,25.091667,26.030769,23.795455,20.923810,16.842105,13.760870
ANNABA/ALGERIA,10160360000.000000,36.830000,7.820000,4.000000,10.939286,11.440741,12.979310,15.248276,18.517857,22.229630,25.028000,25.830769,23.480000,20.066667,15.634483,12.269231
DAR-EL-BEIDA/ALGERIA,10160390000.000000,36.720000,3.250000,25.000000,10.719091,11.023571,12.876154,14.906923,18.175200,22.404783,24.838696,25.917391,22.853750,19.770357,14.769630,11.916000
BEJAIA/ALGERIA,10160402000.000000,36.720000,5.070000,2.000000,11.148000,11.377778,13.325000,15.281481,18.369231,21.996667,24.984615,25.788000,23.394737,19.931034,15.542857,12.383333
CONSTANTINE/ALGERIA,10160419000.000000,36.280000,6.620000,694.000000,6.666667,7.392857,10.025000,12.682143,17.155172,22.448148,25.876000,25.762963,21.380769,17.114815,11.457143,7.837037
CHLEF/ALGERIA,10160425000.000000,36.220000,1.330000,143.000000,10.538182,11.610000,14.171538,16.563846,21.056296,26.016000,29.792000,29.237500,25.804000,21.196000,15.143810,11.869231
MILIANA/ALGERIA,10160430000.000000,36.300000,2.230000,715.000000,8.704545,9.704000,12.064000,14.060000,18.396429,23.534615,27.441667,27.103846,22.800000,18.025000,13.015385,9.561538
BORDJ BOU ARR/ALGERIA,10160444000.000000,36.070000,4.770000,928.000000,6.104167,7.130769,9.935714,12.714815,17.435714,23.303448,27.319231,26.355556,21.066667,16.134483,10.288889,6.734615
SETIF/ALGERIA,10160445000.000000,36.180000,5.420000,1081.000000,4.555385,5.565200,8.104074,11.006800,16.010769,21.596667,25.568077,25.070000,19.958846,15.199200,9.173929,5.669259
BATNA/ALGERIA,10160468000.000000,35.550000,6.180000,1052.000000,5.330435,6.645455,9.864000,12.895833,18.140000,23.275000,26.503846,26.038462,21.320833,16.428000,10.578261,6.582609
TEBESSA/ALGERIA,10160475000.000000,35.480000,8.130000,813.000000,6.491667,7.668000,10.576923,14.200000,18.862500,24.020000,26.903571,26.378261,21.804545,17.600000,11.539130,7.900000
ORAN/ES SENIA/ALGERIA,10160490000.000000,35.600000,-0.600000,90.000000,10.800000,11.720833,13.954545,15.820833,18.781818,22.462500,25.177273,25.942857,23.091667,19.470833,14.896154,11.688000
BENI-SAF/ALGERIA,10160518000.000000,35.300000,-1.350000,68.000000,12.761538,13.211538,14.657692,16.300000,19.000000,22.234615,24.865217,25.572000,23.388000,20.395455,16.640000,13.886957
